subject_id,run,condition,n_windows,n_windows_not_ok,fraction_not_ok,n_windows_any_flag,fraction_any_flag,n_windows_frontal_flag,fraction_frontal_flag
56,2,eyes_closed,60,0,0.0000,2,0.0333,0,0.0000
57,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
57,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
58,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
58,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
59,1,eyes_open,60,0,0.0000,13,0.2167,10,0.1667
59,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
60,1,eyes_open,60,0,0.0000,17,0.2833,14,0.2333
60,2,eyes_closed,60,0,0.0000,57,0.9500,0,0.0000
61,1,eyes_open,60,20,0.3333,38,0.6333,38,0.6333
61,2,eyes_closed,60,2,0.0333,7,0.1167,2,0.0333
62,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
62,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
63,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
63,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
64,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
64,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
66,1,eyes_open,60,0,0.0000,2,0.0333,2,0.0333
66,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
67,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
67,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
68,1,eyes_open,60,0,0.0000,10,0.1667,8,0.1333
68,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
69,1,eyes_open,59,0,0.0000,13,0.2203,13,0.2203
69,2,eyes_closed,60,2,0.0333,2,0.0333,2,0.0333
70,1,eyes_open,60,2,0.0333,17,0.2833,17,0.2833
70,2,eyes_closed,60,0,0.0000,3,0.0500,0,0.0000
71,1,eyes_open,60,2,0.0333,28,0.4667,25,0.4167
71,2,eyes_closed,60,0,0.0000,2,0.0333,0,0.0000
72,1,eyes_open,60,0,0.0000,2,0.0333,2,0.0333
72,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
73,1,eyes_open,60,0,0.0000,4,0.0667,4,0.0667
73,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
74,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
74,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
76,1,eyes_open,60,0,0.0000,2,0.0333,2,0.0333
76,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
77,1,eyes_open,60,0,0.0000,22,0.3667,20,0.3333
77,2,eyes_closed,60,0,0.0000,11,0.1833,0,0.0000
78,1,eyes_open,60,0,0.0000,9,0.1500,9,0.1500
78,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
80,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
80,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
81,1,eyes_open,60,2,0.0333,13,0.2167,13,0.2167
81,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
83,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
83,2,eyes_closed,60,0,0.0000,2,0.0333,0,0.0000
84,1,eyes_open,60,0,0.0000,2,0.0333,0,0.0000
84,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
85,1,eyes_open,60,0,0.0000,13,0.2167,13,0.2167
85,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
88,1,eyes_open,60,8,0.1333,25,0.4167,24,0.4000
88,2,eyes_closed,60,1,0.0167,5,0.0833,4,0.0667
89,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
89,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
90,1,eyes_open,60,33,0.5500,55,0.9167,55,0.9167
90,2,eyes_closed,60,0,0.0000,3,0.0500,3,0.0500
91,1,eyes_open,60,50,0.8333,51,0.8500,51,0.8500
91,2,eyes_closed,60,0,0.0000,3,0.0500,0,0.0000
92,1,eyes_open,60,0,0.0000,12,0.2000,12,0.2000
92,2,eyes_closed,60,2,0.0333,8,0.1333,4,0.0667
93,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
93,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
94,1,eyes_open,60,11,0.1833,18,0.3000,17,0.2833
94,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
95,1,eyes_open,60,10,0.1667,52,0.8667,14,0.2333
95,2,eyes_closed,60,0,0.0000,44,0.7333,0,0.0000
98,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
98,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
99,1,eyes_open,60,0,0.0000,9,0.1500,6,0.1000
99,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
100,1,eyes_open,60,0,0.0000,10,0.1667,2,0.0333
100,2,eyes_closed,60,0,0.0000,30,0.5000,1,0.0167
101,1,eyes_open,60,0,0.0000,2,0.0333,0,0.0000
101,2,eyes_closed,60,2,0.0333,7,0.1167,5,0.0833
102,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
102,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
103,1,eyes_open,60,0,0.0000,27,0.4500,23,0.3833
103,2,eyes_closed,60,14,0.2333,25,0.4167,21,0.3500
104,1,eyes_open,60,2,0.0333,7,0.1167,7,0.1167
104,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
108,1,eyes_open,60,30,0.5000,39,0.6500,39,0.6500
108,2,eyes_closed,60,0,0.0000,8,0.1333,8,0.1333
109,1,eyes_open,59,0,0.0000,59,1.0000,4,0.0678
109,2,eyes_closed,60,0,0.0000,60,1.0000,3,0.0500
